trip_date,total_trips,active_vendors,total_passengers,avg_passengers,total_fares,total_tips,total_tolls,total_revenue,average_fare
2024-01-01,80983,3,109319,1.55,1764382.43,264273.73,56915.86,2442028.22,21.79
2024-01-02,75498,3,104189,1.42,1582011.14,265817.06,59939.83,2280621.08,20.95
2024-01-03,82401,3,111145,1.38,1620515.16,277523.10,54490.34,2357172.85,19.67
2024-01-04,102876,3,135960,1.36,1894794.89,339722.11,52004.48,2799606.19,18.42
2024-01-05,103144,3,137265,1.37,1839278.55,333331.27,49540.89,2727887.46,17.83
2024-01-06,97088,3,133947,1.46,1680411.18,295415.36,43454.47,2435420.86,17.31
2024-01-07,67528,3,92620,1.43,1313177.33,236322.67,48845.68,1897251.79,19.45
2024-01-08,80009,3,100944,1.30,1496084.12,273047.20,48836.85,2215917.92,18.70
2024-01-09,93941,3,110195,1.27,1587299.98,286713.16,37448.78,2363274.62,16.90
2024-01-10,94972,3,116791,1.27,1701612.39,323625.08,50246.13,2549377.55,17.92
2024-01-11,104988,3,130926,1.29,1948031.07,370926.39,59613.88,2904598.05,18.55
2024-01-12,103629,3,134380,1.35,1921915.87,360947.29,61460.32,2862046.31,18.55
2024-01-13,104726,3,144312,1.44,1809300.57,337541.84,46672.44,2649289.45,17.28
2024-01-14,94394,3,128109,1.44,1686800.84,308169.81,49810.24,2459169.04,17.87
2024-01-15,77005,3,101100,1.36,1485437.82,279277.77,57560.10,2163726.34,19.29
2024-01-16,93029,3,111693,1.28,1783645.97,332357.19,56305.83,2634331.94,19.17
2024-01-17,110341,3,131263,1.28,2008632.34,369843.04,55540.19,2979373.07,18.20
2024-01-18,110321,3,133175,1.27,1974227.44,370332.92,52529.30,2942411.26,17.90
2024-01-19,95925,3,122752,1.34,1652090.51,311714.65,45078.66,2479243.02,17.22
2024-01-20,108736,3,142735,1.42,1782038.13,318022.81,36065.58,2600839.72,16.39
2024-01-21,84471,3,109697,1.39,1556991.00,282252.43,52284.57,2264594.60,18.43
2024-01-22,85624,3,104509,1.26,1587001.99,295749.22,51789.40,2359001.26,18.53
2024-01-23,99858,3,120744,1.26,1764578.34,335769.18,44833.37,2635564.92,17.67
2024-01-24,105090,2,127983,1.26,1859017.34,360444.19,48656.93,2788153.98,17.69
2024-01-25,110295,2,133091,1.27,2014334.37,383355.70,56990.73,3002420.50,18.26
2024-01-26,105774,2,134615,1.33,1884493.81,354356.58,52801.39,2811631.98,17.82
2024-01-27,110473,2,150016,1.42,1858035.60,342076.61,35983.74,2711515.09,16.82
2024-01-28,92801,2,118456,1.39,1676798.23,297834.75,51725.82,2433853.50,18.07
2024-01-29,84523,2,103773,1.27,1567293.90,296406.52,52410.08,2337915.20,18.54
2024-01-30,101197,2,122833,1.25,1754447.13,339460.85,45476.10,2640282.38,17.34
2024-01-31,102107,2,123238,1.25,1789565.18,346133.89,46658.86,2685668.93,17.53
2024-02-01,109963,2,132513,1.25,1990524.05,381561.95,57337.27,2975572.07,18.10
2024-02-02,105436,2,134170,1.32,1842030.60,349650.21,51372.46,2762365.41,17.47
2024-02-03,110582,2,148791,1.42,1820956.24,333766.99,35931.50,2666692.83,16.47
2024-02-04,88053,2,116585,1.39,1632373.45,298812.66,52531.84,2374847.20,18.54
2024-02-05,88401,2,109324,1.27,1613380.68,306488.03,53036.44,2414661.50,18.25
2024-02-06,102114,2,123623,1.25,1805110.84,347470.08,47566.78,2703131.30,17.68
2024-02-07,102934,2,124700,1.26,1896380.42,367320.21,51695.39,2827805.47,18.42
2024-02-08,114029,2,138412,1.27,2096227.40,401212.99,62050.93,3131479.95,18.38
2024-02-09,110479,2,139544,1.33,2002822.32,373557.95,58544.40,2984754.27,18.13
